date,count,mean_remainder_mask
2020-03-16,4130,1.4634382566585957
2020-03-17,4033,1.3997024547483263
2020-03-18,3963,1.5268735806207419
2020-03-19,3953,1.5734884897546166
2020-03-20,3908,1.5217502558853633
2020-03-21,3713,1.1335847023969836
2020-03-22,3710,1.1609164420485176
2020-03-23,4112,2.296692607003891
2020-03-24,4112,2.3934824902723735
2020-03-25,4071,2.6543846720707442
2020-03-26,4105,2.710109622411693
2020-03-27,4128,2.737403100775194
2020-03-28,3394,1.8529758397171479
2020-03-29,3253,1.745158315401168
2020-03-14,4210,1.1178147268408551
2020-03-15,4169,1.0837131206524346
2020-03-18,3,2.0
2020-03-23,5,2.0
2020-03-24,2,2.0
2020-03-25,10,2.0
2020-03-30,4265,3.3280187573270807
2020-03-31,4276,3.4094948550046773
2020-04-01,4265,3.5036342321219225
2020-04-02,4292,3.503960857409133
2020-04-03,4301,3.5245291792606372
2020-04-04,3084,2.596952010376135
2020-04-05,2693,2.219829186780542
2020-04-06,4321,3.4235130756769268
2020-04-07,4282,3.4705744978981783
2020-04-08,4251,3.5617501764290753
2020-04-09,4268,3.586457357075914
2020-04-10,4280,3.6021028037383176
2020-04-11,3166,2.7564750473783954
2020-04-12,2789,2.412692721405522
2020-04-13,4356,3.570477502295684
2020-04-14,4316,3.6448100092678404
2020-04-15,3382,3.09284447072738
2020-04-16,4216,3.717741935483871
2020-04-17,4256,3.7455357142857144
2020-04-18,3227,3.1320111558723274
2020-04-19,2824,2.8073654390934846
2020-04-20,4373,3.606448662245598
2020-04-21,4301,3.6282259939548944
2020-04-22,4253,3.6687044439219374
2020-04-23,4238,3.66682397357244
2020-04-24,4259,3.6752758863583
2020-04-25,3320,3.0948795180722892
2020-04-26,2935,2.745485519591141
2020-04-27,4339,3.3911039410002304
2020-04-28,4280,3.5072429906542055
2020-04-29,4221,3.616915422885572
2020-04-30,3217,3.085794218215729
2020-05-01,4004,3.5854145854145854
2020-05-02,3272,2.992970660146699
2020-05-03,2966,2.6648685097774782
2020-05-04,4324,3.587419056429232
2020-05-05,3263,3.0214526509347226
2020-05-06,4199,3.667539890450107
2020-05-07,4212,3.702991452991453
2020-05-08,4203,3.7299547941946227
2020-05-09,3338,3.1249251048532054
2020-05-10,3000,2.742
2020-05-11,4331,3.4975756176402677
2020-05-12,4263,3.58714520290875
2020-05-13,4237,3.639839509086618
2020-05-14,4224,3.6943655303030303
2020-05-15,4227,3.746628814762243
2020-05-16,3453,3.1702867072111207
2020-05-17,3143,2.878141902640789
2020-05-18,4336,3.577490774907749
2020-05-19,4281,3.6472786732071945
2020-05-20,4244,3.6910933081998114
2020-05-21,4227,3.723917672107878
2020-05-22,4241,3.751473709030889
2020-05-23,2924,3.305403556771546
2020-05-23,531,3.2467043314500943
2020-05-24,3153,3.022835394862036
2020-05-25,4347,3.5530250747642054
2020-05-26,4281,3.649848166316281
2020-05-27,4249,3.714050364791716
2020-05-28,4247,3.745702849069932
2020-05-29,4247,3.766658817989169
2020-05-30,3532,3.42638731596829
2020-05-31,3260,3.210736196319018
2020-06-05,4247,3.786672945608665
2020-06-06,3480,3.399712643678161
2020-06-07,3331,3.3146202341639146
2020-06-08,4357,3.5753959146201515
2020-06-09,4277,3.694645779752163
2020-06-10,4225,3.7306508875739643
2020-06-11,4251,3.7751117384144908
2020-06-13,3607,3.4743554200166344
2020-06-14,3396,3.314193168433451
2020-06-15,4365,3.5951890034364262
2020-06-16,4282,3.7122839794488556
2020-06-17,4244,3.795240339302545
2020-06-18,4257,3.6297862344373972
2020-06-24,4257,3.756636128729152
2020-06-25,4245,3.7248527679623087
2020-06-26,4248,3.7314030131826743
2020-06-27,3710,3.4681940700808624
2020-06-28,3507,3.309666381522669
2020-06-29,4353,3.5481277280036756
2020-06-30,4274,3.636172204024333
2020-07-01,4221,3.658137882018479
2020-07-02,4222,3.6589294173377547
2020-07-03,4219,3.630718179663427
2020-07-04,3783,3.3785355537932857
